Heading,Time,Vas/GLMS Result,Question,Low Anchor, High Anchor, Low Value, High Value
Vas,null,50,How hungry do you feel right now?,Not at all hungry,As hungry as I have ever felt,0,100
Vas,null,50,How full do you feel right now?,Not at all full,As full as I have ever felt,0,100
Vas,null,50,How thirsty do you feel right now?,Not at all thirsty,As thirsty as I have ever felt,0,100
Vas,null,50,How nauseous do you feel right now?,Not at all nauseous,As nauseous as I have ever felt,0,100
Vas,null,50,How clear-headed do you feel right now?,Not at all clear-headed,As clear-headed as I have ever felt,0,100
Vas,null,50,How alert do you feel right now?,Not at all alert,As alert as I have ever felt,0,100
Vas,null,50,How energetic do you feel right now?,Not at all energetic,As energetic as I have ever felt,0,100
Vas,null,50,How hungry do you feel right now?,Not at all hungry,As hungry as I have ever felt,0,100
Vas,null,50,How full do you feel right now?,Not at all full,As full as I have ever felt,0,100
Vas,null,50,How thirsty do you feel right now?,Not at all thirsty,As thirsty as I have ever felt,0,100
Vas,null,50,How hungry do you feel right now?,Not at all hungry,As hungry as I have ever felt,0,100
Vas,null,50,How full do you feel right now?,Not at all full,As full as I have ever felt,0,100
Vas,null,50,How thirsty do you feel right now?,Not at all thirsty,As thirsty as I have ever felt,0,100
Vas,null,50,How alert do you feel right now?,Not at all alert,As alert as I have ever felt,0,100
Vas,null,50,How pleasant is the soup right now?,Not at all pleasant,As pleasant as I have ever experienced,0,100
Vas,2024.08.09.00.18.44.454,53,How hungry do you feel right now?,Not at all hungry,As hungry as I have ever felt,0,100
Vas,2024.08.09.00.18.47.495,52,How full do you feel right now?,Not at all full,As full as I have ever felt,0,100
Vas,2024.08.09.00.18.53.378,51,How thirsty do you feel right now?,Not at all thirsty,As thirsty as I have ever felt,0,100
Vas,2024.08.09.00.18.59.438,53,How nauseous do you feel right now?,Not at all nauseous,As nauseous as I have ever felt,0,100
Vas,2024.08.09.00.19.43.841,51,How clear-headed do you feel right now?,Not at all clear-headed,As clear-headed as I have ever felt,0,100
Vas,2024.08.09.00.19.46.109,52,How energetic do you feel right now?,Not at all energetic,As energetic as I have ever felt,0,100
Vas,2024.08.09.00.19.48.084,51,How alert do you feel right now?,Not at all alert,As alert as I have ever felt,0,100
Elapsed Time,471, seconds
