Heading,Time,Vas/GLMS Result,Question,Low Anchor, High Anchor, Low Value, High Value
Vas,null,50,How hungry do you feel right now?,Not at all hungry,As hungry as I have ever felt,0,100
Vas,null,50,How full do you feel right now?,Not at all full,As full as I have ever felt,0,100
Vas,null,50,How thirsty do you feel right now?,Not at all thirsty,As thirsty as I have ever felt,0,100
Vas,null,50,How nauseous do you feel right now?,Not at all nauseous,As nauseous as I have ever felt,0,100
Vas,null,50,How clear-headed do you feel right now?,Not at all clear-headed,As clear-headed as I have ever felt,0,100
Vas,null,50,How energetic do you feel right now?,Not at all energetic,As energetic as I have ever felt,0,100
Vas,null,50,How alert do you feel right now?,Not at all alert,As alert as I have ever felt,0,100
Vas,null,50,How hungry do you feel right now?,Not at all hungry,As hungry as I have ever felt,0,100
Vas,null,50,How full do you feel right now?,Not at all full,As full as I have ever felt,0,100
Vas,null,50,How thirsty do you feel right now?,Not at all thirsty,As thirsty as I have ever felt,0,100
Vas,2024.08.06.09.20.24.557,52,How hungry do you feel right now?,Not at all hungry,As hungry as I have ever felt,0,100
Vas,2024.08.06.09.20.29.902,52,How full do you feel right now?,Not at all full,As full as I have ever felt,0,100
Vas,2024.08.06.09.20.35.358,55,How thirsty do you feel right now?,Not at all thirsty,As thirsty as I have ever felt,0,100
Vas,2024.08.06.09.20.39.347,51,How nauseous do you feel right now?,Not at all nauseous,As nauseous as I have ever felt,0,100
Vas,2024.08.06.09.20.50.086,51,Hoe clear-headed do you feel right now?,Not at all clear-headed,As clear-headed as I have ever felt,0,100
Vas,null,50,How energetic do you feel right now?,Not at all energetic,As energetic as I have ever felt,0,100
Vas,null,50,How alert do you feel right now?,Not at all alert,As alert as I have ever felt,0,100
Elapsed Time,28, seconds
