Heading,Time,Vas/GLMS Result,Question,Low Anchor, High Anchor, Low Value, High Value
Vas,2024.07.25.23.23.42.715,47,How hungry do you feel right now?,Not at all hungry,Extremely hungry,0,100
Vas,2024.07.25.23.23.47.195,57,How full do you feel right now?,Not at all full,Extremely full,0,100
Vas,2024.07.25.23.23.57.002,56,How thirsty do you feel right now?,Not at all thirsty,Extremely thirsty,0,100
Vas,2024.07.25.23.24.12.245,53,How strong is your desire to eat right now?,Very weak,Very strong,0,100
Vas,null,50,How much do you think you could eat right now?,Nothing at all,A large amount,0,100
Vas,null,50,How clearheaded do you feel right now?,Not at all clearheaded,Extremely clearheaded,0,100
Vas,null,50,How tired do you feel right now?,Not at all tired,Extremely tired,0,100
Vas,null,50,How headachy do you feel right now?,Not at all headachy,Extremely headachy,0,100
Vas,null,50,How calm do you feel right now?,Not at all calm,Extremely calm,0,100
Vas,null,50,How energetic do you feel right now?,Not at all energetic,Extremely energetic,0,100
Elapsed Time,37, seconds
