Heading,Time,Vas/GLMS Result,Question,Low Anchor, High Anchor, Low Value, High Value
Vas,2024.08.06.01.20.20.229,84,How hungry do you feel right now?,Not at all hungry,Extremely hungry,0,100
Vas,2024.08.06.01.20.23.581,93,How full do you feel right now?,Not at all full,Extremely full,0,100
Vas,2024.08.06.01.20.26.189,93,How thirsty do you feel right now?,Not at all thirsty,Extremely thirsty,0,100
Vas,2024.08.06.01.20.28.200,97,How strong is your desire to eat right now?,Very weak,Very strong,0,100
Vas,2024.08.06.01.20.31.374,96,How much do you think you could eat right now?,Nothing at all,A large amount,0,100
Vas,2024.08.06.01.20.34.074,94,How clearheaded do you feel right now?,Not at all clearheaded,Extremely clearheaded,0,100
Vas,2024.08.06.01.20.35.934,38,How tired do you feel right now?,Not at all tired,Extremely tired,0,100
Vas,2024.08.06.01.20.38.183,98,How headachy do you feel right now?,Not at all headachy,Extremely headachy,0,100
Vas,2024.08.06.01.20.40.795,92,How calm do you feel right now?,Not at all calm,Extremely calm,0,100
Vas,2024.08.06.01.20.44.204,92,How energetic do you feel right now?,Not at all energetic,Extremely energetic,0,100
Elapsed Time,27, seconds
