Heading,Time,Vas/GLMS Result,Question,Low Anchor, High Anchor, Low Value, High Value
Vas,2024.08.05.22.21.01.109,57,How hungry are you right now?,Not at all hungry,Extremely hungry,0,100
Vas,2024.08.05.22.21.07.445,53,How full are you right now?,Not at all full,Extremely full,0,100
Vas,2024.08.05.22.21.11.843,57,How thirsty are you right now?,Not at all thirsty,Extremely thirsty,0,100
Vas,null,50,How happy are you right now?,Not at all happy,Extremely happy,0,100
Vas,null,50,How anxious are you right now?,Not at all anxious,Extremely anxious,0,100
Vas,null,50,How tired are you right now?,Not at all tired,Extremely tired,0,100
Vas,null,50,How much did you like the porridge?,Dislike extremely,Like extremely,0,100
GLMS ,null,0,How sweet was the porridge?
Vas,null,50,How much do you desire to eat the porridge?,No desire to eat the porridge,Strong desire to eat the porridge,0,100
Vas,null,50,How much did you like the orange juice?,Dislike extremely,Like extremely,0,100
GLMS ,null,0,How sweet was the orange juice?
Vas,null,50,How much do you desire to drink the orange juice?,No desire to drink the orange juice,Strong desire to drink the orange juice,0,100
Vas,null,50,How much did you like the cereal bar?,Dislike extremely,Like extremely,0,100
GLMS ,null,0,How sweet was the cereal bar?
Vas,null,50,How much do you desire to eat the cereal bar?,No desire to eat the cereal bar,Strong desire to eat the cereal bar,0,100
Vas,null,50,How hungry are you right now?,Not at all hungry,Extremely hungry,0,100
Vas,null,50,How full are you right now?,Not at all full,Extremely full,0,100
Vas,null,50,How thirsty are you right now?,Not at all thirsty,Extremely thirsty,0,100
Vas,null,50,How happy are you right now?,Not at all happy,Extremely happy,0,100
Vas,null,50,How anxious are you right now?,Not at all anxious,Extremely anxious,0,100
Vas,null,50,How tired are you right now?,Not at all tired,Extremely tired,0,100
Elapsed Time,14, seconds
