Heading,Time,Vas/GLMS Result,Question,Low Anchor, High Anchor, Low Value, High Value
Vas,2024.08.06.09.35.59.995,85,How hungry are you right now?,Not at all hungry,Extremely hungry,0,100
Vas,2024.08.06.09.36.05.182,67,How full are you right now?,Not at all full,Extremely full,0,100
Vas,2024.08.06.09.36.07.509,37,How thirsty are you right now?,Not at all thirsty,Extremely thirsty,0,100
Vas,2024.08.06.09.36.10.336,100,How happy are you right now?,Not at all happy,Extremely happy,0,100
Vas,2024.08.06.09.36.12.862,92,How anxious are you right now?,Not at all anxious,Extremely anxious,0,100
Vas,2024.08.06.09.36.15.145,97,How tired are you right now?,Not at all tired,Extremely tired,0,100
Vas,2024.08.06.09.36.17.367,100,How much did you like the porridge?,Dislike extremely,Like extremely,0,100
GLMS ,2024.08.06.09.36.20.319,94,How sweet was the porridge?
Vas,2024.08.06.09.36.23.289,80,How much do you desire to eat the porridge?,No desire to eat the porridge,Strong desire to eat the porridge,0,100
Vas,2024.08.06.09.36.34.550,81,How much did you like the orange juice?,Dislike extremely,Like extremely,0,100
GLMS ,2024.08.06.09.36.37.269,98,How sweet was the orange juice?
Vas,2024.08.06.09.36.39.586,65,How much do you desire to drink the orange juice?,No desire to drink the orange juice,Strong desire to drink the orange juice,0,100
Vas,2024.08.06.09.36.41.966,100,How much did you like the cereal bar?,Dislike extremely,Like extremely,0,100
GLMS ,2024.08.06.09.36.45.159,94,How sweet was the cereal bar?
Vas,2024.08.06.09.36.48.155,98,How much do you desire to eat the cereal bar?,No desire to eat the cereal bar,Strong desire to eat the cereal bar,0,100
Vas,2024.08.06.09.36.50.376,100,How hungry are you right now?,Not at all hungry,Extremely hungry,0,100
Vas,2024.08.06.09.36.53.134,97,How full are you right now?,Not at all full,Extremely full,0,100
Vas,2024.08.06.09.36.55.065,99,How thirsty are you right now?,Not at all thirsty,Extremely thirsty,0,100
Vas,2024.08.06.09.36.57.471,100,How happy are you right now?,Not at all happy,Extremely happy,0,100
Vas,2024.08.06.09.36.59.550,100,How anxious are you right now?,Not at all anxious,Extremely anxious,0,100
Vas,2024.08.06.09.37.01.970,100,How tired are you right now?,Not at all tired,Extremely tired,0,100
Elapsed Time,65, seconds
